类别：所有类别

日,JOJO RABBIT oscar: (全球),FORD V FERRARI oscar: (全球),THE IRISHMAN oscar: (全球),PARASITE oscar: (全球),JOKER oscar: (全球)
2019-11-08,0,0,0,0,7
2019-11-09,0,0,0,0,5
2019-11-10,0,0,0,0,7
2019-11-11,0,0,0,0,7
2019-11-12,0,0,0,0,6
2019-11-13,0,0,0,0,5
2019-11-14,0,0,0,0,5
2019-11-15,0,0,0,0,6
2019-11-16,0,0,0,0,8
2019-11-17,0,0,0,5,8
2019-11-18,0,0,4,0,5
2019-11-19,0,0,0,0,5
2019-11-20,3,0,0,0,5
2019-11-21,0,0,0,0,5
2019-11-22,0,0,0,0,5
2019-11-23,0,0,0,0,6
2019-11-24,0,0,0,0,7
2019-11-25,0,0,0,0,6
2019-11-26,0,0,3,0,5
2019-11-27,0,0,3,3,4
2019-11-28,0,0,5,0,4
2019-11-29,0,0,4,0,0
2019-11-30,0,0,5,0,5
2019-12-01,0,0,8,0,4
2019-12-02,0,0,4,0,4
2019-12-03,0,0,0,0,0
2019-12-04,0,0,0,0,0
2019-12-05,0,0,3,0,4
2019-12-06,0,0,0,0,3
2019-12-07,0,0,0,0,7
2019-12-08,0,0,3,0,3
2019-12-09,0,0,0,0,4
2019-12-10,0,0,0,0,0
2019-12-11,0,0,0,0,3
2019-12-12,0,0,0,0,4
2019-12-13,0,0,3,0,0
2019-12-14,0,0,0,0,4
2019-12-15,0,0,0,0,6
2019-12-16,0,0,0,0,0
2019-12-17,0,0,0,0,3
2019-12-18,0,0,0,0,6
2019-12-19,0,0,0,0,4
2019-12-20,0,0,0,0,6
2019-12-21,0,0,0,0,4
2019-12-22,0,0,4,0,5
2019-12-23,0,0,0,0,7
2019-12-24,0,0,0,0,6
2019-12-25,0,0,0,0,8
2019-12-26,0,0,0,0,7
2019-12-27,0,0,0,0,6
2019-12-28,0,0,0,0,6
2019-12-29,0,0,0,0,5
2019-12-30,0,0,0,0,5
2019-12-31,0,0,0,0,5
2020-01-01,0,0,0,4,6
2020-01-02,0,0,0,3,8
2020-01-03,0,0,0,5,8
2020-01-04,0,0,0,5,6
2020-01-05,4,0,0,5,7
2020-01-06,4,0,0,12,28
2020-01-07,0,0,0,5,11
2020-01-08,0,0,0,3,8
2020-01-09,0,0,0,3,9
2020-01-10,0,0,0,5,7
2020-01-11,5,0,0,4,11
2020-01-12,0,0,3,7,11
2020-01-13,98,11,22,91,100
2020-01-14,56,9,18,58,72
2020-01-15,30,4,8,30,38
2020-01-16,23,0,6,19,29
2020-01-17,19,3,8,16,25
2020-01-18,32,4,10,28,29
2020-01-19,32,4,9,25,36
2020-01-20,18,3,5,27,20
2020-01-21,10,0,4,18,13
2020-01-22,12,0,0,14,16
2020-01-23,11,3,3,13,16
2020-01-24,14,0,0,12,16
2020-01-25,20,0,5,22,21
2020-01-26,27,0,7,21,22
2020-01-27,15,0,4,14,16
2020-01-28,10,0,4,11,10
2020-01-29,9,0,3,13,11
2020-01-30,11,3,0,13,11
2020-01-31,15,0,4,10,13
2020-02-01,15,3,3,18,16
2020-02-02,21,0,4,27,17
2020-02-03,16,0,3,16,14
2020-02-04,13,0,0,17,11
2020-02-05,17,0,3,15,12
2020-02-06,16,0,4,17,17
2020-02-07,20,3,6,27,20
2020-02-08,38,5,6,41,38
